File,Hardware,Linearization,Precision,Outer loop,Outer steps,BC on x,BC on y,Simulation,Nu,Grid,Krylov solver,Newton tol,Krylov tol,Newton MaxIt,Krylov MaxIt,Max BT iters,Total Successes,Total Failures,Win Rate,Average - Newton Iters per Outer Step,Std Dev - Newton Iters per Outer Step,Max - Newton Iters per Outer Step,Min - Newton Iters per Outer Step,Average - Krylov Iters per Newton Step,Std Dev - Krylov Iters per Newton Step,Max - Krylov Iters per Newton Step,Min - Krylov Iters per Newton Step,"Average - Time per Newton Iter, s","Std Dev - Time per Newton Iter, s","Max - Time per Newton Iter, s","Min - Time per Newton Iter, s","Average - Time per Outer Step, s","Std Dev - Time per Outer Step, s","Max - Time per Outer Step, s","Min - Time per Outer Step, s",Total Solver Time,Total Wall Time,Severe Failures,Chi,Eps,Diff,Unified_Config,Slowdown
burgers_062_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.01,"(128, 128)",BICGSTAB,1e-06,1e-08,15,100,10,74,126,37.00%,10.63,5.70,15,3,1.97,1.60,11,0,0.0026,0.0013,0.0081,0.0002,0.0281,0.0193,0.0912,0.0044,5.6292,5.8329,126,,,,TGV,1.00x
burgers_061_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.01,"(128, 128)",GMRES,1e-06,1e-08,15,100,10,74,126,37.00%,10.63,5.70,15,3,11.84,116.14,1985,1,0.0056,0.0400,0.7425,0.0002,0.0598,0.1272,0.7606,0.0060,11.9560,12.1584,126,,,,TGV,2.12x
burgers_064_summary.txt,CPU,Finite Difference,float64,time,200,periodic,periodic,TGV,0.01,"(128, 128)",BICGSTAB,1e-06,1e-08,15,100,10,0,200,0.00%,15.00,0.00,15,15,41.64,49.20,100,0,0.0197,0.0210,0.0594,0.0007,0.2965,0.2958,0.7009,0.0239,59.3085,59.5137,200,,,,TGV,10.54x
burgers_060_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.01,"(64, 64)",BICGSTAB,1e-06,1e-08,15,100,10,48,152,24.00%,12.19,5.01,15,3,1.70,1.63,14,0,0.0013,0.0006,0.0040,0.0001,0.0161,0.0086,0.0445,0.0024,3.2161,3.3585,152,,,,TGV,1.00x
burgers_059_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.01,"(64, 64)",GMRES,1e-06,1e-08,15,100,10,48,152,24.00%,12.19,5.01,15,3,10.54,103.58,1985,1,0.0026,0.0181,0.3850,0.0001,0.0323,0.0612,0.3942,0.0029,6.4570,6.6029,152,,,,TGV,2.01x
burgers_063_summary.txt,CPU,Finite Difference,float64,time,200,periodic,periodic,TGV,0.01,"(64, 64)",BICGSTAB,1e-06,1e-08,15,100,10,0,200,0.00%,15.00,0.00,15,15,30.41,45.92,100,0,0.0066,0.0085,0.0297,0.0004,0.0987,0.1219,0.3229,0.0113,19.7419,19.8790,200,,,,TGV,6.14x
burgers_011_summary.txt,CPU,Automatic Differentiation,float32,time,200,periodic,periodic,TGV,0.01,"(64, 64)",GMRES,0.0001,1e-06,15,100,10,27,173,13.50%,13.40,4.05,15,3,58.37,300.08,1990,1,0.0090,0.0419,0.2843,0.0001,0.1213,0.3298,2.0171,0.0025,24.2681,24.3983,173,,,,TGV,7.55x
burgers_009_summary.txt,CPU,Automatic Differentiation,float32,time,200,periodic,periodic,TGV,0.05,"(128, 128)",BICGSTAB,0.0001,1e-06,15,100,10,200,0,100.00%,2.00,0.00,2,2,2.00,0.00,2,2,0.0007,0.0006,0.0019,0.0001,0.0019,0.0030,0.0447,0.0013,0.3732,0.5688,0,,,,TGV,1.00x
burgers_008_summary.txt,CPU,Automatic Differentiation,float32,time,200,periodic,periodic,TGV,0.05,"(128, 128)",GMRES,0.0001,1e-06,15,100,10,200,0,100.00%,2.00,0.00,2,2,4.00,0.00,4,4,0.0010,0.0009,0.0028,0.0001,0.0024,0.0032,0.0473,0.0015,0.4857,0.7256,0,,,,TGV,1.30x
burgers_054_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.05,"(128, 128)",BICGSTAB,1e-06,1e-08,15,100,10,200,0,100.00%,3.00,0.00,3,3,2.77,0.87,4,2,0.0017,0.0011,0.0060,0.0001,0.0055,0.0041,0.0618,0.0040,1.0948,1.3077,0,,,,TGV,2.93x
burgers_053_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.05,"(128, 128)",GMRES,1e-06,1e-08,15,100,10,200,0,100.00%,3.00,0.00,3,3,5.72,1.05,8,4,0.0023,0.0016,0.0076,0.0001,0.0075,0.0041,0.0627,0.0051,1.4978,1.7195,0,,,,TGV,4.01x
burgers_058_summary.txt,CPU,Finite Difference,float64,time,200,periodic,periodic,TGV,0.05,"(128, 128)",BICGSTAB,1e-06,1e-08,15,100,10,0,200,0.00%,15.00,0.00,15,15,93.48,24.39,100,2,0.0470,0.0131,0.0893,0.0017,0.7050,0.0733,0.9781,0.6165,140.9952,141.1912,0,,,,TGV,377.80x
burgers_057_summary.txt,CPU,Finite Difference,float64,time,200,periodic,periodic,TGV,0.05,"(128, 128)",GMRES,1e-06,1e-08,15,100,10,144,56,72.00%,5.64,5.84,15,2,1584.53,797.81,1991,3,0.5698,0.3774,0.9532,0.0001,3.2142,5.1532,12.2893,0.0021,642.8453,643.0277,56,,,,TGV,1722.52x
burgers_007_summary.txt,CPU,Automatic Differentiation,float32,time,200,periodic,periodic,TGV,0.05,"(64, 64)",BICGSTAB,0.0001,1e-06,15,100,10,200,0,100.00%,2.37,0.48,3,2,2.50,0.76,4,2,0.0005,0.0003,0.0011,0.0001,0.0015,0.0028,0.0405,0.0009,0.2941,0.4315,0,,,,TGV,1.00x
burgers_006_summary.txt,CPU,Automatic Differentiation,float32,time,200,periodic,periodic,TGV,0.05,"(64, 64)",GMRES,0.0001,1e-06,15,100,10,200,0,100.00%,2.36,0.48,3,2,5.07,1.40,9,4,0.0006,0.0004,0.0015,0.0001,0.0017,0.0028,0.0401,0.0010,0.3443,0.4759,0,,,,TGV,1.17x
burgers_052_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.05,"(64, 64)",BICGSTAB,1e-06,1e-08,15,100,10,200,0,100.00%,2.96,0.21,3,2,3.30,0.72,5,2,0.0011,0.0008,0.0036,0.0001,0.0036,0.0030,0.0445,0.0011,0.7250,0.8668,0,,,,TGV,2.47x
burgers_051_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.05,"(64, 64)",GMRES,1e-06,1e-08,15,100,10,200,0,100.00%,2.96,0.21,3,2,6.60,1.06,8,5,0.0011,0.0008,0.0032,0.0001,0.0037,0.0031,0.0459,0.0013,0.7430,0.8874,0,,,,TGV,2.53x
burgers_010_summary.txt,CPU,Finite Difference,float32,time,200,periodic,periodic,TGV,0.05,"(64, 64)",BICGSTAB,0.0001,1e-06,15,100,10,6,194,3.00%,14.61,2.22,15,2,97.84,11.27,100,3,0.0137,0.0017,0.0151,0.0001,0.2000,0.0347,0.2429,0.0033,40.0000,40.1387,66,,,,TGV,136.01x
burgers_056_summary.txt,CPU,Finite Difference,float64,time,200,periodic,periodic,TGV,0.05,"(64, 64)",BICGSTAB,1e-06,1e-08,15,100,10,9,191,4.50%,14.41,2.69,15,2,93.23,24.75,100,2,0.0197,0.0058,0.0314,0.0001,0.2840,0.0631,0.3516,0.0011,56.8051,57.3558,72,,,,TGV,193.15x
burgers_055_summary.txt,CPU,Finite Difference,float64,time,200,periodic,periodic,TGV,0.05,"(64, 64)",GMRES,1e-06,1e-08,15,100,10,0,200,0.00%,15.00,0.00,15,15,1858.55,493.98,2000,7,0.3300,0.0890,0.4594,0.0014,4.9501,0.1794,5.7020,4.7615,990.0236,990.1719,200,,,,TGV,3366.28x
burgers_004_summary.txt,CPU,Automatic Differentiation,float32,time,200,periodic,periodic,TGV,0.1,"(128, 128)",BICGSTAB,0.0001,1e-06,15,100,10,200,0,100.00%,2.00,0.00,2,2,2.00,0.00,2,2,0.0006,0.0005,0.0019,0.0001,0.0016,0.0030,0.0438,0.0012,0.3206,0.5061,0,,,,TGV,1.00x
burgers_003_summary.txt,CPU,Automatic Differentiation,float32,time,200,periodic,periodic,TGV,0.1,"(128, 128)",GMRES,0.0001,1e-06,15,100,10,200,0,100.00%,2.00,0.00,2,2,4.00,0.00,4,4,0.0011,0.0063,0.1255,0.0001,0.0026,0.0125,0.1790,0.0015,0.5192,0.8794,0,,,,TGV,1.62x
burgers_046_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.1,"(128, 128)",BICGSTAB,1e-06,1e-08,15,100,10,200,0,100.00%,2.92,0.26,3,2,2.15,0.36,3,2,0.0013,0.0008,0.0028,0.0002,0.0042,0.0040,0.0594,0.0018,0.8310,1.0330,0,,,,TGV,2.59x
burgers_045_summary.txt,CPU,Automatic Differentiation,float64,time,200,periodic,periodic,TGV,0.1,"(128, 128)",GMRES,1e-06,1e-08,15,100,10,200,0,100.00%,2.92,0.26,3,2,4.36,0.68,6,4,0.0020,0.0059,0.1422,0.0002,0.0063,0.0148,0.2145,0.0024,1.2671,1.6530,0,,,,TGV,3.95x
